Subject,Category Check Item,New Category,English,Category Check Items,Criteria,DRI,ISO條文,VDA條文,Type
Method,A1107,"Non-conforming handling
不合格品處理",Non-conforming handling,"Material Review Board Procedure
特別批件會簽程序","Is there a MRB procedure to review the disposition of nonconforming material? (e.g. ""use as is"", RTV, scrap, rework)
是否有MRB流程來評審不良材料的處理？（例如條件使用、RTV，報廢、重工）",PE,ISO 8.7.1,,A11
Method,A1108,"Non-conforming handling
不合格品處理",Non-conforming handling,"Material Review Board Procedure
特別批件會簽程序","Is the responsibility and authority to review/approve disposition of nonconforming materials defined? (e.g. MRB roster)
是否規定了不良材料處置的審核/批准職責和許可權?（例如MRB成員名單）",PE,ISO 8.7.1,,A11
Method,A1109,"Non-conforming handling
不合格品處理",Non-conforming handling,"Material Review Board Procedure
特別批件會簽程序","For MRB material, is there a requirement to issue a corrective action? Are all necessary details included in the Corrective Action Request? (P/N, lot #, inspection date, lot size, sample size, reject qty, etc.)
對於MRB材料，是否執行改善行動要求？改善行動要求是否包含了所有的必要細節（編碼、批號，檢驗日期、批數量、樣本大小、拒收數量等）",PE,ISO 8.7.1,,A11
Method,A1110,"Non-conforming handling
不合格品處理",Non-conforming handling,"Corrective Action
矯正措施","Need action for impact lots and material.
針對受影響批/材料需要有改善。",PE,IATF 8.7.1.7,,A11
Method,A1111,"Non-conforming handling
不合格品處理",Non-conforming handling,"Corrective Action
矯正措施","Is there a system to track status of corrective action requests?
是否有制度跟蹤糾正措施執行狀況？",PE,IATF 8.5.1.3,,A11
Method,A1112,"Non-conforming handling
不合格品處理",Non-conforming handling,"Corrective Action
矯正措施","Is action taken when progress/implementation of improvement actions is not satisfactory?
當改善行動的執行和進程不能滿足要求時，是否採取進一步的行動？",PE,ISO 10.3,,A11
Method,A1113,"Non-conforming handling
不合格品處理",Non-conforming handling,"Rework
重工","Is there have the reword SOP ?
是否有重工作業之SOP?",PE,IATF 8.7.1.4,,A11
Method,A1114,"Non-conforming handling
不合格品處理",Non-conforming handling,"Rework
重工","Rework instructions shall be accessible and utilized by the appropriate personnel in their work areas.
重工指導書是否能在工作場所容易被相關的人員取得並執行呢?",PE,IATF 8.7.1.4,,A11
Method,A1115,"Non-conforming handling
不合格品處理",Non-conforming handling,"Rework
重工","The personnel that to rework product shall be have been? trained / know the style of rework.
是不是所有從事重工相關之作業人員，有接受訓練且都知道重工方式?",PE,ISO 7.2.1,,A11
Method,A1116,"Non-conforming handling
不合格品處理",Non-conforming handling,"Rework
重工","Repaired and /or reworked product shall be reinspected in accordance with the quality plan(control plan) and /or documented procedure.
修理與/或重工加產品,是否依照品管計劃與/或書面程序重新加以檢驗?",PE,IATF 8.7.1.4,,A11
Method,A1117,"Non-conforming handling
不合格品處理",Non-conforming handling,"Rework
重工","Shall have availability records of rework.
應有重工的有效紀錄。",PE,IATF 8.7.1.4,,A11
Method,A1118,"Non-conforming handling
不合格品處理",Non-conforming handling,"Rework
重工","Automotive / functional safety/ cybersecurity products are not allow rework and should follow customer rework requirement.
車用/ 功能安全產品/ 網宇安全禁止重工並且不得違反客戶重工需求。",PE,IATF 8.7.1.4,,A11
Method,A1201,"Customer complaints /? Quality issues
客戶抱怨 / 品質異常","Customer complaints, Quality issues","Customer complaints
客戶抱怨","If you have a suit of procedure of customer return material ?
是否有一套客退品處理流程?",MQA,ISO 9.1.2,,A12
Method,A1202,"Customer complaints /? Quality issues
客戶抱怨 / 品質異常","Customer complaints, Quality issues","Customer complaints
客戶抱怨","Committed improvement actions/corrective actions should be implemented/followed.
客戶案件的改善行動應確實執行。",MQA,IATF 10.3.1,,A12
Method,A1203,"Customer complaints /? Quality issues
客戶抱怨 / 品質異常","Customer complaints, Quality issues","Customer complaints
客戶抱怨","Does customer complain and actions of preventive can feedback to system for implement? Ex: PFMEA.
客訴案件之異常與矯正預防措施是否能反饋置系統中實施。如PFMEA 。",PE,IATF 10.3.1,,A12
Method,A1204,"Customer complaints /? Quality issues
客戶抱怨 / 品質異常","Customer complaints, Quality issues","Preventive Action
預防措施","Is there a preventive action for recurrence?
是否有預防行動避免再發?",PE,IATF 10.3.1,,A12
Method,A1205,"Customer complaints /? Quality issues
客戶抱怨 / 品質異常","Customer complaints, Quality issues","Preventive Action
預防措施","If use the appropriate extent fault preventing method in the course of rectification and prevention ?
是否於矯正及預防措施過程中，使用適當程度的錯誤防止方法?",PE,ISO 10.2.2,,A12
Method,A1206,"Customer complaints /? Quality issues
客戶抱怨 / 品質異常","Customer complaints, Quality issues","Action fan out.?
措施展開","Action of quality issue is fan out to related plants to prevent recurrence.
客戶抱怨的預防措施有被展開到相關廠別執行，避免再發。",PE,IATF 10.2.6,,A12
Method,A1301,"FMEA
失敗效應分析",FMEA,"FMEA
失敗效應分析","Shall have to define the severity, occurrence, detection ranking of FMEA.
應有規範去定義FMEA中的嚴重度、發生率、偵出度等級。",PE,IATF 8.3.5.1,,A13
Method,A1302,"FMEA
失敗效應分析",FMEA,"FMEA
失敗效應分析","Need to update FMEA when quality issue completed. If the update FMEA is belong to functional safety item, needs to ask functional safety manager to review before modification.
針對客訴的案件，需更新相關的FMEA。若更新之FMEA屬於功能安全項目，則需在變更前要求功能安全經理審查。",PE,IATF 8.3.5.1,,A13
Method,A1303,"FMEA
失敗效應分析",FMEA,"FMEA
失敗效應分析","Shall have regular review effectiveness of FMEA corrective action. For the items belong to functional safety, functional safety manager should in the review loop.
應有定期於審視FMEA的有效性。若有屬於功能安全項目，則車用安全經理必須在審查人員中。",PE,IATF 8.3.5.2,,A13
Method,A1304,"FMEA
失敗效應分析",FMEA,"FMEA
失敗效應分析","Shall have regular review mechanism and update FMEA action and ranking.
應有定期去更新FMEA的改善行動及內容。",PE,IATF 10.2.3,,A13
Method,A1305,"FMEA
失敗效應分析",FMEA,"FMEA
失敗效應分析","FMEA shall build the linkage to control plan by serverity ranking.
FMEA的嚴重性等級應與Control Plan 連結。",PE,IATF 8.5.1.1,,A13
Method,A1306,"FMEA
失敗效應分析",FMEA,"FMEA
失敗效應分析","Improvement action is taken for top 3 (general) or top 5 (automotive / functional safety/ cybersecurity) RPN items, even all RPN already meet criteria (general: 100;? automotive / functional safety/ cybersecurity: 84)
即使所有RPN 值都已經低於要求 (一般：100；車用/功能安全/ 網宇安全)：84)，仍需要針對前3 (一般) 或前5 (車用/功能安全/ 網宇安全) 高RPN 的項目執行持續改善措施。",PE,IATF 10.2.3,,A13
Method,A1307,"FMEA
失敗效應分析",FMEA,"FMEA
失敗效應分析","Is the current process control (prevention / detection) and action taken from FMEA be implemented?
FMEA 內的目前製程的控制(預防/偵出)及已實施的改善行動是否有落實被執行？",PE,IATF 8.3.5.2,,A13
Method,A1401,"Document Control
文件管控",Document Control,"Code Number Control
編碼管控","All documentation of work-in-process shall be with code number to be controlled.
生產線上之所有作業文件要有code number管制。",QS,ISO 7.5.3.2,,A14
Method,A1402,"Document Control
文件管控",Document Control,"Revision Control
版本管控","All documentation of work-in-process shall be the latest edition.
生產線上之所有作業文件要為最新版次。",QS,ISO 7.5.3.2,,A14
Method,A1403,"Document Control
文件管控",Document Control,"Revision Control
版本管控","Are manufacturing prints under control?
工程圖面是否亦受管控 ?",QS,IATF 7.5.3.2.2,,A14
Method,A1404,"Document Control
文件管控",Document Control,"Revision Control
版本管控","Is computer software under controlled?
電腦軟件是否亦受控?",QS,IATF 7.5.3.2.2,,A14
Method,A1405,"Document Control
文件管控",Document Control,"Revision Control
版本管控","How to control the revision of testing?
如何管控測試版本?",QS,IATF 7.5.3.2.2,,A14
Method,A1406,"Document Control
文件管控",Document Control,"Record Control
紀錄管控","All record modification shall be with signature and date.
所有記錄的修改要有簽名及押日期。",QS,ISO 8.4.2,,A14
Method,A1407,"Document Control
文件管控",Document Control,"Data Filing and Retrieval
資料保存與取回","Operation records shall be preserved periodically.
作業記錄要依規定定期保存。",QS,IATF 8.3.5.2,,A14
Method,A1408,"Document Control
文件管控",Document Control,"External Document
外來文件","Are documents of external original within the range of document control??
外來的原始的文件是否列入文件管制?",QS,IATF 7.5.3.2.1,,A14
Method,A1409,"Document Control
文件管控",Document Control,"External Document
外來文件","Are documents of external original properly maintained?
外來文件是否被妥善之保管?",QS,ISO 8.2,,A14
Method,A1410,"Document Control
文件管控",Document Control,"External Document
外來文件","Does customer documents transfer to a interior instruction?
客戶文件是否適切地轉成內部規範?",QS,IATF 8.5.1.3,,A14
Method,A1501,"Change Control
變更管控",Change Control,"Change Control
變更管控","Is there procedure established for informing relevant personnel of engineering changes? If the functional safety product is impacted in the change , whether functional safety manager is informed.
是否有一套通知流程得知工程變更及知會相關單位? 若功能安全產品在變更範圍內，是否通知安全經理?",QS,IATF 8.5.6.1,,A15
Method,A1502,"Change Control
變更管控",Change Control,"Change Control
變更管控","Are there tracking actions taken for the situation after engineering changes applied?
是否有追蹤工程變更導入狀況?",QS,ISO 8.5.6,,A15
Method,A1503,"Change Control
變更管控",Change Control,"Change Control
變更管控","Does engineering change customer related items has notify to customer?
工程變更與客戶相關項目是否有通知客戶?",QS,ISO 8.5.6,,A15
Method,A1504,"Change Control
變更管控",Change Control,"Change Control
變更管控","Is there has enough data and record to prove change is effectively?
工程變更實施前是否有足夠之實驗數據與報告佐證? ",QS,ISO 8.5.6,,A15
Method,A1505,"Change Control
變更管控",Change Control,"Change Control
變更管控","Automotive / functional safety/ cybersecurity product change control sahll follow customer special requirement and automotive change control guideline.
車用/ 功能安全/ 網宇安全產品的變更管制應依照客戶特殊需求及車用變更管制指導原則去執行。",QS,ISO 8.5.6,,A15
Method,A1601,SOP documentation/implementation 作業指導書 規範定義/執行,SOP documentation/implementation,"Self check records
自主檢查紀錄","Self check records, TCMs, eTCMs, record sheets, monitor sheets, check sheets should be completely filled-up and eligible.
自主檢查紀錄/TCM/eTCM/紀錄表單/監控紀錄/確認紀錄表需完整和合格的。",PE,IATF 8.5.1.3,,A16
Method,A1602,SOP documentation/implementation 作業指導書 規範定義/執行,SOP documentation/implementation,"Self check records
自主檢查紀錄","The monitoring results of process parameters shall be recorded and can be traced.
製程參數的確認結果應被記錄且可被追朔。",PE,IATF 8.5.1.3,,A16
Method,A1603,SOP documentation/implementation 作業指導書 規範定義/執行,SOP documentation/implementation,"Work instructions
工作指導書","The SOP steps of production process shall follow instructions and standard.
製程SOP動作需遵循指示規範。",MFG,IATF 8.5.1.3,,A16
Method,A1604,SOP documentation/implementation 作業指導書 規範定義/執行,SOP documentation/implementation,"Work instructions
工作指導書","Following the indication of travel card/ SPEC to set up the parameter of operating machine.
作業機台的參數設定須依路單/SPEC指定設定。",EE,IATF 8.5.1.3,,A16
Method,A1605,SOP documentation/implementation 作業指導書 規範定義/執行,SOP documentation/implementation,"Transfer procedure between stages
站點間的產品運送","Doing product transportation shall follow operation instruction handling work-in-process devices.
產品搬運時需遵循生產線上產品搬運之作業規範。",MFG,IATF 8.5.1.3,,A16
Method,A1606,SOP documentation/implementation 作業指導書 規範定義/執行,SOP documentation/implementation,"Lead-free/non lead-free control
有鉛無鉛的管控","Proper segregation, identification for lead-free and non lead-free material.
適當區分、鑑別有鉛/無鉛的材料",MFG,Q 8.5.4,,A16
Method,A1607,SOP documentation/implementation 作業指導書 規範定義/執行,SOP documentation/implementation,"Product storage Control?
產品儲存管理","Follow required storage conditions and location.
遵照規定的儲存條件及位置",MFG,IATF 8.5.4.1,,A16
Method,A1608,SOP documentation/implementation 作業指導書 規範定義/執行,SOP documentation/implementation,"Mixing control
混貨","Following the regulations to put travel card and products together.
路單必須依規定與產品置放一起。",MFG,IATF 8.5.1.3,,A16
Method,A1609,SOP documentation/implementation 作業指導書 規範定義/執行,SOP documentation/implementation,"Mixing control
混貨","One customer sub-lot is handled on working table in one time.
同一時間內只能在工作桌上作業一個客戶的產品。",MFG,IATF 8.5.1.3,,A16
Method,A1610,SOP documentation/implementation 作業指導書 規範定義/執行,SOP documentation/implementation,"Customer requirement
客戶要求","Customer special requirement is defined in specification and followed.
客戶的特殊要求有被定義在內部文件及執行。",PE,IATF 8.5.1.3,,A16
Method,A1701,"Automation
自動化",Automation,"Program/Recipe identification
程式儲存","Auto recipe download & auto mating with system.
自動下載程式並與系統回存比對。",PE,ISO 8.5.1,,A17
Method,A1702,"Automation
自動化",Automation,"Program/Recipe identification
程式儲存","The ENGG and mass production program/ recipe can be easy identified to prevent missing usage.
工程和量產的程式容易識別以防使用錯誤。",PE,ISO 8.5.1,,A17
Method,A1703,"Automation
自動化",Automation,"Program/Recipe Name
程式名稱","Following the indication of travel card/ SPEC to set up the parameter of operating machine.
作業機台的參數設定須依路單/SPEC指示設定。",EE,IATF 8.5.1.3,,A17
Method,A1704,"Automation
自動化",Automation,"Program/Recipe Traceability
程式的追溯","The monitoring results of process parameters shall be recorded and can be traced.
製程參數的確認結果應被記錄且可被追朔。",PE,IATF 8.5.1.3,,A17
Method,A1705,"Automation
自動化",Automation,"Program/Recipe Revision
程式的版本","Shall have recipe change approval mechanism and revision control history.
程式的變更應有簽核機制及版本管控紀錄。",PE,ISO 8.5.1,,A17
Method,A1706,"Automation
自動化",Automation,"Direct/Indirect Material
直接/間接材料","1. Auto check if the direct material or indirect material is correct or not (by barcode system)
2. Auto alarm and hold in system if the direct/ indirect material over lifetime.
3. Material thawing time and stabilizing time can be controlled by system.
1. 自動確認直接材料或間接的資料是否正確。（通過條碼系統）
2.若直接/間接材料超出使用壽命，系統會自動警報並停止作業。
3.材料回施和回溫有系統控制。",PE,IATF 8.5.4.1,,A17
Method,A1707,"Automation
自動化",Automation,"Product? transformation
產品的移轉","To transfer the units by automated equipment (ex. sky cart, auto-exchanging cassette equipment) or tooling (ex. Vacuum wand, manual exchanging cassette equipment) to avoid manual handling.
PS. For automated plant, the sky cart transformation in excluding receiving to de-box step , packing step and QA inspection step.
經由自動化設備(如天車，自動換盒機)或工具(如真空吸筆, 手動換盒機)進行產品移轉，避免人體直接接觸產品。
註: 自動化工廠除了進料至換盒站，包裝站與QA檢驗站點外，均應使用天車運送產品。",PE,ISO 8.3.4,,A17
Method,A1708,"Automation
自動化",Automation,"Lot Move In/Out
產品過帳","1. Auto lot move-in/move-out (barcode system)
1. 使用條碼系統自動過帳
2. Auto OP check-in for lot move-in/out (for automatic plant)
2. 自動OP check-in 系統",MFG,IATF 8.5.1.3,,A17
Method,A1709,"Automation
自動化",Automation,"Data collection
資料蒐集","Engineering data is auto upload to EDC system.
(for automatic plant)
資料自動上傳至資料管理/生產管理系統",PE,IATF 8.5.1.3,,A17
Method,A1710,"Automation
自動化",Automation,"Lot disposition
派工","Product lot should be deposited by system.
(for automatic plant)
系統自動派工產品",PE,IATF 8.5.1.3,,A17
Method,A1711,"Automation
自動化",Automation,"SPC data upload?
SPC資料上傳","SPC data should be auto uploaded to SPC system (no manual key in)
(for automatic plant)
SPC資料自動上傳至SPC系統 (非手動輸入)",PE,IATF 8.5.1.3,,A17
Environment,A1801,"Environment Monitor
環境監控",Environment Monitor,"Environment Monitor
環境監測","Shall have environmental methodology and abnormal handling defined in specification. (Ex. noise, temperature, humidity, lighting, DI water, air pressure and etc. )
環境管制方法及異常處置需被定義在規範中。 (例如:噪音,溫度,濕度,照度,D.I 水,氣壓等等…)",MQA,IATF 7.1.4.1,,A18
Environment,A1802,"Environment Monitor
環境監控",Environment Monitor,"Environment Monitor
環境監測","Shall install real time system to detect temperature, humidity and particle.
針對溫度/溼度及落塵需安裝即時監控系統。",MQA,IATF 7.1.4.1,,A18
Environment,A1803,"Environment Monitor
環境監控",Environment Monitor,"Environment Monitor
環境監測","There is auto alarm system be used when out of control.
當超出管制限制會自動警示。",MQA,IATF 8.5.1.5,,A18
Environment,A1804,"Environment Monitor
環境監控",Environment Monitor,"Environment Monitor
環境監測","Monitor personnel shall comply with specification to monitor environmental control items. (Ex: noise, temperature, humidity, lighting, water, air pressure and etc. )
確認者需根據規範監察環境管制項目。 (例如：噪音,溫度,濕度,照度,水,氣壓等等…)",MQA,IATF 8.5.1.3,,A18
Environment,A1805,"Environment Monitor
環境監控",Environment Monitor,"Environment Monitor
環境監測","The monitoring results of? environment shall be records.(Ex. noise, temperature, humidity, lighting, water, air pressure and etc. )
環境的監控須有確實執行之記錄。(例如:噪音,溫度,濕度,照度,水,氣壓等等…)",MQA,IATF 8.5.1.5,,A18
Environment,A1806,"Environment Monitor
環境監控",Environment Monitor,"Environment Monitor
環境監測","Monitor personnel shall issue abnormal notice to notify FAC and MFG when monitoring results are unusual.
當監控結果異常時, 監控者須發出異常單通知廠務及製造部。",MQA,IATF 9.1.1.1,,A18
Environment,A1901,"Clean Room Management
無塵室管理",Clean Room Management,"Clean Room Management
無塵室管理","Shall have clean room methodology and abnormal handling defined in specification.
無塵室的管制方法需被定義在規範中。",MQA,IATF 7.1.4.1,,A19
Environment,A1902,"Clean Room Management
無塵室管理",Clean Room Management,"Clean Room Management
無塵室管理","Staff shall comply the clean room request in gowning area, air shower room and working field. (Ex. Wearing, air shower, AB doors, to walk and etc.)
人員於更衣室, 吹氣室及作業現場須遵守無塵室規定。(例如:穿著, 吹氣,AB門, 走路等等...)",MQA,IATF 7.1.4.1,,A19
Environment,A1903,"Clean Room Management
無塵室管理",Clean Room Management,"Clean Room Management
無塵室管理","Machine, parts, material and etc. be moved into the air shower room and working field shall be complied the specifications.
設備,零件及材料等等…被搬進吹氣室及作業現場須符合無塵室規定。",MQA,IATF 7.1.4.1,,A19
Environment,A1904,"Clean Room Management
無塵室管理",Clean Room Management,"Clean Room Management
無塵室管理","The forbidden articles shall not be used in the clean room, EPA, and working area. (Ex. Plastic chairs, ordinary paper, personal articles, any food and etc.)
禁品不可被使用在無塵室, EPA 或工作現埸。(例如: 塑膠椅,一般紙張,私人物品,任何食品等等...)",MQA,IATF 7.1.4.1,,A19
Environment,A1905,"Clean Room Management
無塵室管理",Clean Room Management,"Clean Room Management
無塵室管理","If the non-essential article be used in clean room or EPA shall be complied protecting method. (Ex: suitable separation, suitable distance, packing and etc..)
如非必要品被使用於無塵室或靜電防護區，須符合防護方法。(例如:適當的隔離,包裝,適當的距離)",MQA,IATF 7.1.4.1,,A19
Environment,A1906,"Clean Room Management
無塵室管理",Clean Room Management,"Clean Room Management
無塵室管理","Shall have instruction for dress regulation in the gowning room.
更衣室有服裝穿著規定標示。",MQA,IATF 7.1.4.1,,A19
Environment,A1907,"Clean Room Management
無塵室管理",Clean Room Management,"Clean Room Management
無塵室管理","Staff shall clean public area or working area periodically based on specifications.
人員須遵守規定定期清潔公共區域或作業區。",MQA,IATF 7.1.4.1,,A19
Environment,A2001,5S,5S,5S,"Useful articles and useless articles shall be managed and be complied arrangement method. (Ex. clearly distinguish useful or un-useful articles, Scrap the useless articles)
要與不要的物品須被管理，符合整理的方法。(例如:區分要與不要的東西,把不要的東西丟掉)",MFG,IATF 7.1.4.1,,A20
Environment,A2002,5S,5S,5S,"Location, placed area or others be identified easily shall complied the organization method. (Ex. simplest way to position everything, easily understand location, easy taking, sequentially display and etc.)
場所、放置區或其他區域須易於被識別，符合整頓的方法。(例如：簡單的方法把物品歸位、位置易被了解、易於取得、依序擺放等等…)",MFG,IATF 7.1.4.1,,A20
Environment,A2003,5S,5S,5S,"Environment shall be swept regularly complied sweeping method. (Ex. regular clean, no trash, no dirt, no foreign matter, very clean and etc.)
環境須定期被清掃，符合清掃的方法。(例如:定期清潔, 無垃圾, 無異物,十分整潔)",MFG,IATF 7.1.4.1,,A20
Environment,A2004,5S,5S,5S,"Dirt and mess are prohibited in space.(Including inside and outside of machine, the N2 cabinets, computers, working tables, ionizers, and etc.)
工作區域範圍中(包括機台裡外,氮氣櫃,電腦,工作桌,離子風扇...等)不可有零亂和髒污。",MFG,IATF 7.1.4.1,,A20
Environment,A2005,5S,5S,5S,"The instrument shall be placed in order without mess.
工具要依規定擺放且不可雜亂。",MFG,IATF 7.1.4.1,,A20
Environment,A2006,5S,5S,5S,"Documentation shall be in proper order.
文件資料依規定擺放整齊(Ex：:工作桌上的文件等等...)",MFG,IATF 7.1.4.1,,A20
Environment,A2007,5S,5S,5S,"Shall have appropriate indicators at working field.
工作區域要有適當的標示。",MFG,IATF 7.1.4.1,,A20
Environment,A2101,"ESD
靜電防護",ESD,"ESD Control Procedure
靜電管制流程","Shall have E.S.D control methodology defined in specification.
靜電放電管制方法需要被定義在規範中。",EE,IATF 8.5.4.1,,A21
Environment,A2102,"ESD
靜電防護",ESD,"Protected Area
防護區域","ESD check on tables, pushcarts, chairs, floors, ionizers, packing material, CPG, etc.
工作桌/台車/椅子/地板/離子風扇/WIP 架/包材/共通接地點等等...有被確認靜電。",EE,IATF 8.5.4.1,,A21
Environment,A2103,"ESD
靜電防護",ESD,"Protected Area
防護區域","Staff shall comply the E.S.D standard. (Ex. Wearing, to walk and etc.)
人員須遵守靜電防護規定。(例如:穿著, 走路等等...)",EE,IATF 8.5.4.1,,A21
Environment,A2104,"ESD
靜電防護",ESD,"Protected Area
防護區域","There are suitable identification with ESD. (Ex. ESD Susceptibility Symbol, ESD Protective Symbol, Common point Ground Symbol and etc.)
有適當的靜電防護標示。(例如:ESD 敏感性符號, 靜電防護符號,共通接地符號等等…)",EE,IATF 8.5.4.1,,A21
Environment,A2105,"ESD
靜電防護",ESD,"Human body ESD control
人員靜電管制","Make sure to execute the measurement of ESD while entering the EPA working field.
人員要進入EPA工作場所時，確實執行ESD的量測。",EE,IATF 8.5.4.1,,A21
Environment,A2106,"ESD
靜電防護",ESD,"Human body ESD control
人員靜電管制","The operators are assured to be ESD. (Ex: ESD gloves or fingers cots, ESD hand bracelet, and etc.)
人員作業時確實達到ESD的防護(Ex:靜電手套或手指套或靜電手環...等)",EE,IATF 8.5.4.1,,A21
Environment,A2107,"ESD
靜電防護",ESD,"ESD Check Control
ESD 確認管制","Machine capability meet ESD requirements.
機台能力符合靜電管控的需求。",EE,IATF 8.5.4.1,,A21
Environment,A2108,"ESD
靜電防護",ESD,"ESD Check Control
ESD 確認管制","Ionizer shall work properly. (The ESD decay time and balance voltage shall meet ESD control requirement)
離子風扇化設備須正常運作。(靜電消散時間及平衡電壓需符合ESD管制要求)",EE,IATF 8.5.4.1,,A21
Environment,A2109,"ESD
靜電防護",ESD,"ESD Record
ESD紀錄","Be sure to execute periodical ESD inspection records. (Owner please do ESD measurement practically.)
定期ESD抽檢的記錄確實執行。(請負責人員，實際操作 ESD的量測)",EE,IATF 8.5.4.1,,A21
Environment,A2201,GP,GP,GP,"Hazardous substance free and hazardous substance product must have individual working area.
無有害物質的工作區必須與有害物質的工作區分開。",LAB,Q 8.5.2,,A22
Environment,A2202,GP,GP,GP,"Hazardous substance products WIP area, cart and machine need to indicate ""category of hazardous substance""(Green&Non-green label ).
有害物質的產品WIP區、產品運貨台車及機台需標示""有害物質類別""(Green&Non-green的標示)。",LAB,Q 8.5.1,,A22
Environment,A2203,GP,GP,GP,"Only allow one product schedule on working table at the same time.
工作桌上只允許同時放置單一批產品。",LAB,Q 8.5.3,,A22
Environment,A2204,GP,GP,GP,"All finished product must move to the finished product area.
完成品必須放在的成品區。",LAB,Q 8.5.2,,A22
Environment,A2205,GP,GP,GP,"The product traveler card have to indicate uses what kind of material and remark Green/Non-green product.
產品路單上須標明使用的是何種材料並且註明為綠色或非綠色產品。",LAB,Q 8.5.2,,A22
Environment,A2206,GP,GP,GP,"The rework sheet of hazardous substance products need to indicate ""category of hazardous substance""
有害物質產品重工單需註明""有害物質類別""。",LAB,Q 8.5.2,,A22
Environment,A2207,GP,GP,GP,"All material need have GP barcode label to distinguished from outer box to minimum packing, and Green/Non-green type and material P/N information on system should coordinated with real GP barcode label. (Green material is used white color label , Non-green material is used pink color label)
確認所有材料的外箱一直到最小包裝皆有GP條碼標籤識別, 且系統Green/Non-green類別以及P/N是否與實際標籤相對應. (Green為白色標籤, Non-green為粉紅色標籤)",LAB,Q 8.5.2,,A22
Environment,A2208,GP,GP,GP,"Must check the material information once again the material changed during an operation.
作業過程中?換材料後，必須再次確認材料的資訊。",LAB,Q 8.5.6,,A22
Environment,A2209,GP,GP,GP,"Must ensure there is no any one remain in the material tank, before changes material type.
?換材料類別前，必須確保機台材料載具內無任何殘?的材料。",LAB,Q 8.5.6,,A22
Environment,A2210,GP,GP,GP,"The material with different composition have to pack with different box.
不同成分的材料須分開盒裝。",LAB,Q 8.5.4,,A22
Environment,A2211,GP,GP,GP,"Forbid to change the material container arbitrarily.
禁止任意?換材料的盛裝容器。",LAB,Q 8.5.4,,A22
Environment,A2212,GP,GP,GP,"The removed material have to centralized put into the recycle bin.
移除的材料必須集中在回收筒內。",LAB,Q 8.5.4,,A22
Environment,A2213,GP,GP,GP,"Forbid to use the material which label was lost or unrecognizable.
?得使用遺失標籤或無法辨識的材料。",LAB,Q 8.5.2,,A22
Environment,A2214,GP,GP,GP,"Engineering experiments material have to post the ""experiment material usage record card"" on the container.
工程實驗用的材料，必須在容器外部貼上""實驗用材料記?卡""。",LAB,Q 8.5.2,,A22
Environment,A2215,GP,GP,GP,"Have to note the material composition card on the machine that is using currently.
機台上必須掛上目前正在使用的材料成分指示牌。",LAB,Q 8.5.2,,A22
Environment,A2216,GP,GP,GP,"Check the related tools, parts and gauges are marked with ""GREEN"" and ""NON-GREEN"".
確認所使用的模具、零件及治具是否有標示""綠色""及""非綠色""。",LAB,Q 8.5.2,,A22
Environment,A2217,GP,GP,GP,"Hazardous substance free tools, parts and gauges cannot put together with hazardous substance tools, parts and gauges.
無有害物質的模具、零件及治具不能與有害物質的模具、零件及治具放在一起。",LAB,Q 8.5.2,,A22
Environment,A2218,GP,GP,GP,"Check the tools, parts and gauges has the clean record, and there are individual cleaning tools for hazardous substance free and hazardous substance tools, parts and gauges.
確認是否有模具、零件及治具的清潔紀錄，以及無有害物質/有害物質模具、零件及治具是否有各別的清潔工具。",LAB,Q 8.5.2,,A22
Environment,A2219,GP,GP,GP,"XRF record meet the SPEC defined for incoming &Shipping inspection of XRF sampling plan/frequency/test item/criteria. (Including incoming & shipping inspection, after Non-green change to Green & Long-term stock material)
確認XRF的抽樣計畫/檢測頻率/檢測項目/規格是否依照SPEC定義執行,並且有相對應的實際表單/紀錄(1RT/當日有進貨,測試7項元素)。(含進料&出貨檢驗, 製程Green/Non-green轉換後和長期庫存材料)",LAB,Q 7.5.1,,A22
Environment,A2220,GP,GP,GP,"For ECO-Partner, XRF test sample need storage one month.(Except Bumping wafer)
針對ECO-Partner, XRF 檢測樣品是否保留一個月(Bumping廠wafer產品除外)",LAB,Q 7.5.3,,A22
Environment,A2221,GP,GP,GP,"XRF record need maintain.
XRF 檢測紀錄是否保存",LAB,Q 7.5.3,,A22
Environment,A2222,GP,GP,GP,"XRF machine need do calibration every years(calibration label), and do self-calibration weekly, need have related result report.
XRF儀器是否每年執行校正(校正標籤), 每周執行校驗, 且有表單紀錄",LAB,Q 7.1.5.2,,A22
Environment,A2223,GP,GP,GP,"After doing XRF inspection need separate/labeling XRF fail material/product area.
執行XRF後, 需獨立區分且標示XRF fail 區",LAB,Q 8.5.2,,A22
Environment,A2224,GP,GP,GP,"After XRF inspection, the XRF pass / fail of material/product need be distinguished. (ex.XRF Pass/Fail stamp or label)
XRF檢驗後, 材料/產品上需可被辨識XRF pass / fail (ex.XRF Pass/Fail章或標籤)",LAB,Q 8.5.2,,A22
Environment,A2225,GP,GP,GP,"When XRF fail, need implemented based on GP non-conforming handling procedure.
XRF 檢驗fail 時，是否依照GP不合格品處置流程執行",LAB,ISO 9.1.1,,A22
Environment,A2226,GP,GP,GP,"OP need pass XRF training and certification.
作業人員是否有適當之XRF相關訓練且有資格認證",LAB,Q 7.2,,A22
